case_id,event_id,scenario,selected_strategy,predicted_delay_hours,actual_delay_hours,predicted_cost,actual_cost,covered_demand_rate,production_downtime_hours,lost_orders,customer_complaints,outcome_status,human_rating,lessons_learned,model_version,parameter_version,created_at
CASE-000001,EVT-000125,台风天气-苏州-125,铁路替代+延期交付,24,18,86032.29,1152186.03,0.63,24,3,16,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-13T08:00:00+08:00
CASE-000002,EVT-000155,海关查验延误-武汉-155,接受短期停线+控制现金成本,48,72,758514.12,861080.25,0.6009,12,0,8,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-14T08:00:00+08:00
CASE-000003,EVT-000187,质量召回-上海-187,双供应商分单+安全库存锁定,24,24,74200.32,586207.05,0.7788,0,3,7,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-05T08:00:00+08:00
CASE-000004,EVT-000134,需求突增-合肥-134,紧急采购+生产计划调整,36,36,569664.71,213305.59,0.6488,48,1,1,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-11T08:00:00+08:00
CASE-000005,EVT-000055,需求突增-成都-055,铁路替代+延期交付,72,96,652430.18,518194.17,0.6098,24,3,8,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-22T08:00:00+08:00
CASE-000006,EVT-000100,供应商停产-东莞-100,库存重分配+客户分级沟通,24,24,630935.79,856459.49,0.9096,24,3,10,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-25T08:00:00+08:00
CASE-000007,EVT-000113,供应商停产-东莞-113,双供应商分单+安全库存锁定,72,84,827730.96,257628.17,0.8247,24,0,6,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-21T08:00:00+08:00
CASE-000008,EVT-000132,质量召回-青岛-132,双供应商分单+安全库存锁定,24,18,754901.5,705270.95,0.7343,8,5,15,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-16T08:00:00+08:00
CASE-000009,EVT-000115,区域限电-东莞-115,双供应商分单+安全库存锁定,0,0,656627.29,822564.52,0.9355,0,2,10,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-09T08:00:00+08:00
CASE-000010,EVT-000198,供应商停产-青岛-198,关键订单空运+备用供应商补货,6,6,748473.64,800320.26,0.8718,8,2,4,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-04T08:00:00+08:00
CASE-000011,EVT-000005,区域限电-宁波-005,双供应商分单+安全库存锁定,6,0,764102.27,961504.49,0.6072,48,2,5,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-28T08:00:00+08:00
CASE-000012,EVT-000015,运输节点中断-上海-015,双供应商分单+安全库存锁定,6,6,838455.28,564771.62,0.7872,24,2,10,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-27T08:00:00+08:00
CASE-000013,EVT-000200,港口停运-苏州-200,铁路替代+延期交付,6,6,406419.33,764922.14,0.9689,0,2,1,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-12T08:00:00+08:00
CASE-000014,EVT-000084,运输节点中断-合肥-084,铁路替代+延期交付,0,0,51899.1,441425.8,0.5963,12,0,7,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-12T08:00:00+08:00
CASE-000015,EVT-000001,运输节点中断-武汉-001,紧急采购+生产计划调整,6,6,336087.22,110572.57,0.6405,0,2,18,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-09T08:00:00+08:00
CASE-000016,EVT-000138,台风天气-上海-138,紧急采购+生产计划调整,12,15,67503.35,1119899.97,0.8979,24,5,14,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-07T08:00:00+08:00
CASE-000017,EVT-000072,港口停运-东莞-072,铁路替代+延期交付,36,60,117299.07,654273.32,0.9966,24,0,0,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-21T08:00:00+08:00
CASE-000018,EVT-000205,区域限电-苏州-205,接受短期停线+控制现金成本,24,24,24279.16,862139.61,0.6376,0,3,17,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-01T08:00:00+08:00
CASE-000019,EVT-000009,需求突增-成都-009,接受短期停线+控制现金成本,24,18,120441.4,403933.72,0.891,24,3,16,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-04T08:00:00+08:00
CASE-000020,EVT-000195,区域限电-杭州-195,双供应商分单+安全库存锁定,0,12,712200.75,157276.22,0.8235,4,0,13,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-25T08:00:00+08:00
CASE-000021,EVT-000207,海关查验延误-青岛-207,关键订单空运+备用供应商补货,72,75,765410.83,29322.62,0.5417,24,0,11,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-06-18T08:00:00+08:00
CASE-000022,EVT-000200,港口停运-苏州-200,紧急采购+生产计划调整,72,84,291939.53,148612.21,0.9058,0,2,3,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-06-20T08:00:00+08:00
CASE-000023,EVT-000047,区域限电-杭州-047,关键订单空运+备用供应商补货,6,30,403918.03,510695.16,0.7826,48,1,17,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-04T08:00:00+08:00
CASE-000024,EVT-000220,海关查验延误-杭州-220,双供应商分单+安全库存锁定,72,84,282718.58,207127.7,0.758,12,0,16,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-14T08:00:00+08:00
CASE-000025,EVT-000184,海关查验延误-苏州-184,双供应商分单+安全库存锁定,0,0,775152.91,1144054.47,0.7171,0,5,3,partial_success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-25T08:00:00+08:00
CASE-000026,EVT-000231,运输节点中断-天津-231,库存重分配+客户分级沟通,24,24,212437.65,106228.59,0.5782,48,0,12,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-11T08:00:00+08:00
CASE-000027,EVT-000063,供应商停产-天津-063,关键订单空运+备用供应商补货,0,3,874055.28,971244.63,0.7363,0,0,12,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-25T08:00:00+08:00
CASE-000028,EVT-000092,台风天气-合肥-092,接受短期停线+控制现金成本,36,48,643653.47,806234.15,0.5543,0,5,18,success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-30T08:00:00+08:00
CASE-000029,EVT-000027,质量召回-苏州-027,铁路替代+延期交付,48,48,600221.64,989915.38,0.6929,0,1,14,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-15T08:00:00+08:00
CASE-000030,EVT-000115,区域限电-东莞-115,紧急采购+生产计划调整,48,48,781944.32,999067.13,0.7251,0,1,4,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-08T08:00:00+08:00
CASE-000031,EVT-000067,质量召回-东莞-067,双供应商分单+安全库存锁定,12,6,211914.73,472910.13,0.9358,0,0,14,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-14T08:00:00+08:00
