material_id,material_name,category,unit,criticality,standard_cost,sales_price,daily_consumption,safety_stock_days,shelf_life_days,active,updated_at
MAT-0001,传感器-0001,传感器,PCS,B,174.9,250.62,234,9,730,1,2026-06-14T12:11:00+08:00
MAT-0002,功率模块-0002,功率模块,PCS,B,1108.39,1578.59,326,9,365,1,2026-06-15T06:30:00+08:00
MAT-0003,电机组件-0003,电机组件,PCS,C,267.98,486.85,721,5,1095,1,2026-06-15T05:35:00+08:00
MAT-0004,传感器-0004,传感器,PCS,B,351.05,500.01,215,9,1095,1,2026-06-15T05:33:00+08:00
MAT-0005,传感器-0005,传感器,PCS,B,358.96,459.39,594,9,365,1,2026-06-15T01:54:00+08:00
MAT-0006,控制芯片-0006,控制芯片,PCS,C,344.89,547.08,150,5,1825,1,2026-06-15T04:18:00+08:00
MAT-0007,功率模块-0007,功率模块,PCS,A,1079.96,1913.85,1220,14,365,1,2026-06-14T23:25:00+08:00
MAT-0008,传感器-0008,传感器,PCS,B,357.22,651.95,898,9,1095,1,2026-06-14T18:08:00+08:00
MAT-0009,化工辅料-0009,化工辅料,KG,A,48.15,76.86,256,14,1825,1,2026-06-14T16:34:00+08:00
MAT-0010,电机组件-0010,电机组件,PCS,B,701.77,1046.62,513,9,730,1,2026-06-15T05:43:00+08:00
MAT-0011,连接器-0011,连接器,PCS,B,7.25,10.58,434,9,1825,1,2026-06-15T01:42:00+08:00
MAT-0012,电机组件-0012,电机组件,PCS,B,741.27,1314.57,832,9,730,1,2026-06-14T16:06:00+08:00
MAT-0013,功率模块-0013,功率模块,PCS,C,945.16,1374.88,358,5,365,1,2026-06-15T01:11:00+08:00
MAT-0014,传感器-0014,传感器,PCS,C,252.49,404.28,23,5,1095,1,2026-06-14T09:42:00+08:00
MAT-0015,控制芯片-0015,控制芯片,PCS,A,286.89,463.7,1160,14,365,1,2026-06-14T12:11:00+08:00
MAT-0016,控制芯片-0016,控制芯片,PCS,C,215.07,294.3,132,5,365,1,2026-06-15T02:49:00+08:00
MAT-0017,化工辅料-0017,化工辅料,KG,A,73.54,103.23,1490,14,730,1,2026-06-14T08:32:00+08:00
MAT-0018,化工辅料-0018,化工辅料,KG,A,28.89,39.46,832,14,365,1,2026-06-15T06:57:00+08:00
MAT-0019,结构件-0019,结构件,PCS,C,29.07,38.16,286,5,1825,1,2026-06-14T20:29:00+08:00
MAT-0020,控制芯片-0020,控制芯片,PCS,C,201.31,286.65,390,5,730,1,2026-06-14T10:44:00+08:00
MAT-0021,包装材料-0021,包装材料,SET,A,11.07,20.0,50,14,730,1,2026-06-15T07:34:00+08:00
MAT-0022,化工辅料-0022,化工辅料,KG,B,65.56,115.18,94,9,1825,1,2026-06-14T21:01:00+08:00
MAT-0023,电机组件-0023,电机组件,PCS,B,354.18,471.61,511,9,1825,1,2026-06-15T04:31:00+08:00
MAT-0024,包装材料-0024,包装材料,SET,C,17.6,22.09,234,5,365,1,2026-06-14T17:23:00+08:00
MAT-0025,电机组件-0025,电机组件,PCS,A,707.23,1033.49,328,14,730,1,2026-06-14T17:24:00+08:00
MAT-0026,电机组件-0026,电机组件,PCS,C,875.87,1530.1,765,5,730,1,2026-06-14T17:38:00+08:00
MAT-0027,功率模块-0027,功率模块,PCS,A,617.83,850.79,250,14,365,1,2026-06-14T22:18:00+08:00
MAT-0028,功率模块-0028,功率模块,PCS,C,1031.79,1832.26,205,5,730,1,2026-06-14T17:42:00+08:00
MAT-0029,功率模块-0029,功率模块,PCS,C,386.6,572.19,481,5,1095,1,2026-06-14T13:00:00+08:00
MAT-0030,连接器-0030,连接器,PCS,C,21.7,28.88,35,5,1095,1,2026-06-15T01:57:00+08:00
MAT-0031,电机组件-0031,电机组件,PCS,C,568.88,908.46,175,5,730,1,2026-06-15T03:01:00+08:00
MAT-0032,传感器-0032,传感器,PCS,A,354.07,529.14,42,14,1095,1,2026-06-15T04:03:00+08:00
