event_id,event_type,event_title,severity,risk_score,location,affected_supplier_id,affected_material_id,affected_route,estimated_delay_hours,event_status,started_at,resolved_at,description,updated_at
EVT-000001,route_blockage,运输节点中断-武汉-001,critical,92,天津,SUP-043,MAT-0060,宁波至青岛,36,resolved,2026-03-21T18:00:00+08:00,2026-03-28T06:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-23T07:00:00+08:00
EVT-000002,customs_delay,海关查验延误-苏州-002,medium,67,天津,SUP-032,MAT-0067,苏州至杭州,36,monitoring,2026-01-21T05:00:00+08:00,2026-01-28T07:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-01-22T02:00:00+08:00
EVT-000003,typhoon,台风天气-成都-003,medium,63,上海,SUP-027,MAT-0063,东莞至合肥,24,monitoring,2025-08-20T23:00:00+08:00,2025-08-30T02:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-23T01:00:00+08:00
EVT-000004,supplier_shutdown,供应商停产-东莞-004,high,83,杭州,SUP-007,MAT-0197,东莞至上海,24,resolved,2026-02-26T06:00:00+08:00,2026-02-28T16:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-28T07:00:00+08:00
EVT-000005,power_shortage,区域限电-宁波-005,low,45,天津,SUP-031,MAT-0126,上海至宁波,36,resolved,2025-07-16T01:00:00+08:00,2025-07-18T13:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-07-18T11:00:00+08:00
EVT-000006,route_blockage,运输节点中断-合肥-006,critical,95,宁波,SUP-025,MAT-0020,合肥至杭州,168,active,2025-09-19T09:00:00+08:00,2025-09-24T08:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-21T18:00:00+08:00
EVT-000007,demand_surge,需求突增-成都-007,high,80,合肥,SUP-027,MAT-0062,东莞至成都,48,monitoring,2025-12-31T12:00:00+08:00,2026-01-02T21:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-01-02T10:00:00+08:00
EVT-000008,route_blockage,运输节点中断-青岛-008,low,38,苏州,SUP-035,MAT-0065,合肥至武汉,6,resolved,2025-12-27T16:00:00+08:00,2026-01-03T10:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-12-29T16:00:00+08:00
EVT-000009,demand_surge,需求突增-成都-009,medium,51,杭州,SUP-020,MAT-0189,天津至苏州,96,active,2025-08-26T05:00:00+08:00,2025-09-03T08:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-27T02:00:00+08:00
EVT-000010,typhoon,台风天气-武汉-010,low,34,杭州,SUP-046,MAT-0107,武汉至天津,24,monitoring,2026-03-14T23:00:00+08:00,2026-03-16T23:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-15T10:00:00+08:00
EVT-000011,typhoon,台风天气-杭州-011,medium,53,成都,SUP-026,MAT-0132,武汉至合肥,24,resolved,2025-10-12T06:00:00+08:00,2025-10-21T16:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-10-12T11:00:00+08:00
EVT-000012,typhoon,台风天气-青岛-012,high,83,合肥,SUP-060,MAT-0135,天津至苏州,24,resolved,2025-08-16T22:00:00+08:00,2025-08-21T02:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-17T01:00:00+08:00
EVT-000013,typhoon,台风天气-苏州-013,low,30,东莞,SUP-007,MAT-0074,东莞至合肥,72,active,2026-05-30T03:00:00+08:00,2026-06-05T18:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-05-31T11:00:00+08:00
EVT-000014,route_blockage,运输节点中断-苏州-014,medium,68,天津,SUP-044,MAT-0052,杭州至成都,36,resolved,2026-03-09T13:00:00+08:00,2026-03-17T12:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-12T09:00:00+08:00
EVT-000015,route_blockage,运输节点中断-上海-015,medium,68,武汉,SUP-042,MAT-0213,苏州至合肥,12,active,2025-08-14T10:00:00+08:00,2025-08-15T21:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-15T16:00:00+08:00
EVT-000016,quality_recall,质量召回-天津-016,high,78,天津,SUP-038,MAT-0124,成都至苏州,6,active,2026-06-10T11:00:00+08:00,,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-06-12T23:00:00+08:00
EVT-000017,demand_surge,需求突增-杭州-017,medium,53,东莞,SUP-021,MAT-0153,上海至上海,36,resolved,2026-04-16T23:00:00+08:00,2026-04-24T01:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-19T16:00:00+08:00
EVT-000018,typhoon,台风天气-东莞-018,low,26,天津,SUP-053,MAT-0180,宁波至上海,48,resolved,2025-06-26T17:00:00+08:00,2025-07-04T04:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-06-28T18:00:00+08:00
EVT-000019,demand_surge,需求突增-杭州-019,low,48,上海,SUP-025,MAT-0028,合肥至合肥,96,resolved,2026-05-21T14:00:00+08:00,2026-05-30T14:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-05-24T14:00:00+08:00
EVT-000020,supplier_shutdown,供应商停产-上海-020,low,40,宁波,SUP-017,MAT-0035,东莞至东莞,72,active,2025-10-26T19:00:00+08:00,2025-11-04T21:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-10-29T15:00:00+08:00
EVT-000021,route_blockage,运输节点中断-上海-021,low,40,东莞,SUP-012,MAT-0089,苏州至苏州,24,resolved,2026-04-11T04:00:00+08:00,2026-04-12T07:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-13T14:00:00+08:00
EVT-000022,quality_recall,质量召回-成都-022,high,74,东莞,SUP-016,MAT-0068,武汉至天津,168,resolved,2025-11-25T13:00:00+08:00,2025-12-05T06:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-27T02:00:00+08:00
EVT-000023,customs_delay,海关查验延误-武汉-023,high,73,武汉,SUP-015,MAT-0197,合肥至武汉,96,resolved,2026-03-19T03:00:00+08:00,2026-03-27T04:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-19T18:00:00+08:00
EVT-000024,quality_recall,质量召回-青岛-024,high,76,合肥,SUP-026,MAT-0137,武汉至上海,24,monitoring,2026-03-17T01:00:00+08:00,2026-03-19T00:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-17T11:00:00+08:00
EVT-000025,customs_delay,海关查验延误-武汉-025,high,73,武汉,SUP-026,MAT-0112,武汉至青岛,36,active,2025-06-16T10:00:00+08:00,2025-06-21T11:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-06-16T11:00:00+08:00
EVT-000026,power_shortage,区域限电-青岛-026,medium,55,东莞,SUP-047,MAT-0098,东莞至成都,72,monitoring,2025-11-19T14:00:00+08:00,2025-11-24T23:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-22T12:00:00+08:00
EVT-000027,quality_recall,质量召回-苏州-027,medium,51,天津,SUP-058,MAT-0076,成都至杭州,24,resolved,2026-02-23T22:00:00+08:00,2026-02-24T12:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-25T03:00:00+08:00
EVT-000028,route_blockage,运输节点中断-苏州-028,medium,57,武汉,SUP-020,MAT-0129,天津至苏州,168,resolved,2025-08-13T13:00:00+08:00,2025-08-20T08:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-14T20:00:00+08:00
EVT-000029,demand_surge,需求突增-武汉-029,medium,62,上海,SUP-042,MAT-0175,苏州至苏州,72,escalated,2025-07-12T15:00:00+08:00,2025-07-13T13:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-07-15T11:00:00+08:00
EVT-000030,supplier_shutdown,供应商停产-武汉-030,medium,54,宁波,SUP-018,MAT-0225,成都至合肥,24,resolved,2025-12-24T06:00:00+08:00,2026-01-01T01:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-12-25T17:00:00+08:00
EVT-000031,supplier_shutdown,供应商停产-苏州-031,low,41,东莞,SUP-035,MAT-0076,合肥至杭州,96,escalated,2025-08-31T06:00:00+08:00,2025-09-04T08:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-09-02T20:00:00+08:00
EVT-000032,typhoon,台风天气-成都-032,medium,52,东莞,SUP-047,MAT-0195,东莞至上海,96,resolved,2026-05-27T18:00:00+08:00,2026-05-31T08:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-05-28T07:00:00+08:00
EVT-000033,route_blockage,运输节点中断-合肥-033,low,34,宁波,SUP-032,MAT-0236,苏州至武汉,96,resolved,2025-08-18T01:00:00+08:00,2025-08-26T08:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-18T11:00:00+08:00
EVT-000034,power_shortage,区域限电-东莞-034,low,35,宁波,SUP-016,MAT-0073,武汉至苏州,12,resolved,2025-07-06T14:00:00+08:00,2025-07-13T23:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-07-08T00:00:00+08:00
EVT-000035,quality_recall,质量召回-宁波-035,critical,98,武汉,SUP-013,MAT-0151,宁波至天津,24,resolved,2026-02-03T09:00:00+08:00,2026-02-08T06:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-05T10:00:00+08:00
EVT-000036,quality_recall,质量召回-天津-036,high,76,武汉,SUP-054,MAT-0207,杭州至苏州,24,resolved,2025-07-10T01:00:00+08:00,2025-07-15T07:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-07-10T10:00:00+08:00
EVT-000037,port_shutdown,港口停运-天津-037,critical,92,天津,SUP-032,MAT-0113,苏州至天津,12,resolved,2026-03-03T20:00:00+08:00,2026-03-05T16:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-04T04:00:00+08:00
EVT-000038,power_shortage,区域限电-杭州-038,high,71,上海,SUP-032,MAT-0037,苏州至成都,6,resolved,2025-12-14T14:00:00+08:00,2025-12-23T01:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-12-14T22:00:00+08:00
EVT-000039,typhoon,台风天气-合肥-039,low,36,天津,SUP-051,MAT-0236,上海至合肥,24,resolved,2026-04-24T13:00:00+08:00,2026-04-26T04:00:00+08:00,台风天气影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-24T21:00:00+08:00
EVT-000040,supplier_shutdown,供应商停产-苏州-040,high,73,成都,SUP-049,MAT-0223,青岛至宁波,48,escalated,2026-04-06T00:00:00+08:00,2026-04-14T13:00:00+08:00,供应商停产影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-07T02:00:00+08:00
EVT-000041,customs_delay,海关查验延误-武汉-041,low,44,合肥,SUP-057,MAT-0167,东莞至东莞,96,monitoring,2025-10-26T11:00:00+08:00,2025-11-02T00:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-10-28T20:00:00+08:00
EVT-000042,port_shutdown,港口停运-东莞-042,high,81,苏州,SUP-028,MAT-0174,成都至天津,36,resolved,2026-04-15T23:00:00+08:00,2026-04-19T23:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-04-17T08:00:00+08:00
EVT-000043,route_blockage,运输节点中断-天津-043,low,39,杭州,SUP-044,MAT-0136,杭州至杭州,24,resolved,2025-10-21T16:00:00+08:00,2025-10-28T23:00:00+08:00,运输节点中断影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-10-23T07:00:00+08:00
EVT-000044,customs_delay,海关查验延误-东莞-044,high,84,东莞,SUP-023,MAT-0041,宁波至上海,168,monitoring,2025-10-02T20:00:00+08:00,2025-10-04T10:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-10-03T03:00:00+08:00
EVT-000045,quality_recall,质量召回-天津-045,medium,63,青岛,SUP-006,MAT-0048,武汉至青岛,72,active,2026-02-19T13:00:00+08:00,2026-02-25T18:00:00+08:00,质量召回影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-21T07:00:00+08:00
EVT-000046,power_shortage,区域限电-东莞-046,low,26,合肥,SUP-003,MAT-0095,宁波至天津,36,monitoring,2025-10-07T05:00:00+08:00,2025-10-07T11:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-10-08T16:00:00+08:00
EVT-000047,power_shortage,区域限电-杭州-047,critical,87,杭州,SUP-043,MAT-0203,宁波至青岛,168,monitoring,2026-03-24T22:00:00+08:00,2026-03-25T10:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-03-27T15:00:00+08:00
EVT-000048,power_shortage,区域限电-青岛-048,critical,97,杭州,SUP-010,MAT-0036,天津至东莞,168,resolved,2026-02-15T13:00:00+08:00,2026-02-19T06:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2026-02-18T10:00:00+08:00
EVT-000049,customs_delay,海关查验延误-上海-049,medium,53,合肥,SUP-043,MAT-0063,宁波至宁波,48,active,2025-08-23T08:00:00+08:00,2025-09-01T12:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-24T00:00:00+08:00
EVT-000050,customs_delay,海关查验延误-上海-050,critical,86,杭州,SUP-030,MAT-0032,天津至合肥,72,resolved,2025-06-25T21:00:00+08:00,2025-06-26T15:00:00+08:00,海关查验延误影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-06-27T06:00:00+08:00
EVT-000051,power_shortage,区域限电-合肥-051,high,73,青岛,SUP-014,MAT-0051,杭州至合肥,6,resolved,2025-08-18T10:00:00+08:00,2025-08-26T03:00:00+08:00,区域限电影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-20T02:00:00+08:00
EVT-000052,demand_surge,需求突增-上海-052,high,73,上海,SUP-049,MAT-0006,青岛至天津,24,resolved,2025-08-12T13:00:00+08:00,2025-08-18T06:00:00+08:00,需求突增影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-08-13T20:00:00+08:00
EVT-000053,port_shutdown,港口停运-东莞-053,low,41,上海,SUP-018,MAT-0077,成都至苏州,168,resolved,2025-11-24T01:00:00+08:00,2025-12-02T16:00:00+08:00,港口停运影响供应商、物料和运输路线，需评估库存、订单与替代供应。,2025-11-24T10:00:00+08:00
