case_id,event_id,scenario,selected_strategy,predicted_delay_hours,actual_delay_hours,predicted_cost,actual_cost,covered_demand_rate,production_downtime_hours,lost_orders,customer_complaints,outcome_status,human_rating,lessons_learned,model_version,parameter_version,created_at
CASE-000001,EVT-000125,台风天气-苏州-125,铁路替代+延期交付,6,8.19,630264.1,595322.53,0.6442,17,2,16,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-13T08:00:00+08:00
CASE-000002,EVT-000183,台风天气-成都-183,双供应商分单+安全库存锁定,12,10.7,38708.6,16794.59,0.9067,17,1,5,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-13T08:00:00+08:00
CASE-000003,EVT-000134,需求突增-合肥-134,紧急采购+生产计划调整,12,16.44,711299.97,719996.96,0.7035,23,3,16,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-20T08:00:00+08:00
CASE-000004,EVT-000105,港口停运-天津-105,关键订单空运+备用供应商补货,72,152.84,252838.62,428525.89,0.5299,24,3,14,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-30T08:00:00+08:00
CASE-000005,EVT-000151,海关查验延误-成都-151,库存重分配+客户分级沟通,36,44.06,153543.95,238943.65,0.52,16,3,16,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-02T08:00:00+08:00
CASE-000006,EVT-000219,运输节点中断-成都-219,双供应商分单+安全库存锁定,72,35.85,156703.78,94333.63,0.7615,20,0,8,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-06T08:00:00+08:00
CASE-000007,EVT-000108,台风天气-杭州-108,库存重分配+客户分级沟通,48,38.05,81402.51,97783.87,0.8611,11,2,7,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-02T08:00:00+08:00
CASE-000008,EVT-000096,供应商停产-武汉-096,库存重分配+客户分级沟通,48,56.1,112408.33,146793.38,0.6905,0,0,1,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-01T08:00:00+08:00
CASE-000009,EVT-000068,海关查验延误-武汉-068,紧急采购+生产计划调整,24,13.73,35437.74,32941.99,0.9877,17,2,5,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-03-13T08:00:00+08:00
CASE-000010,EVT-000183,台风天气-成都-183,接受短期停线+控制现金成本,12,17.67,49569.94,62365.68,0.5561,38,3,6,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-27T08:00:00+08:00
CASE-000011,EVT-000132,质量召回-青岛-132,关键订单空运+备用供应商补货,24,4.32,183336.22,127757.95,1.0,16,1,5,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-19T08:00:00+08:00
CASE-000012,EVT-000061,区域限电-成都-061,关键订单空运+备用供应商补货,72,96.01,331876.35,282822.65,0.9487,19,1,6,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-07T08:00:00+08:00
CASE-000013,EVT-000092,台风天气-合肥-092,库存重分配+客户分级沟通,12,12.86,485182.73,343791.94,0.8856,5,0,0,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-03T08:00:00+08:00
CASE-000014,EVT-000149,海关查验延误-上海-149,双供应商分单+安全库存锁定,36,44.15,245162.55,347331.24,0.7571,25,4,16,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-10T08:00:00+08:00
CASE-000015,EVT-000098,台风天气-杭州-098,铁路替代+延期交付,12,3.65,721251.95,302925.82,1.0,6,0,3,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-01T08:00:00+08:00
CASE-000016,EVT-000009,需求突增-成都-009,接受短期停线+控制现金成本,24,59.66,368626.43,701149.46,0.52,50,2,15,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-16T08:00:00+08:00
CASE-000017,EVT-000104,需求突增-成都-104,铁路替代+延期交付,6,3.73,230560.96,114483.65,1.0,5,1,0,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-16T08:00:00+08:00
CASE-000018,EVT-000012,台风天气-青岛-012,库存重分配+客户分级沟通,36,43.49,206646.64,167247.94,0.8826,10,0,5,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-04T08:00:00+08:00
CASE-000019,EVT-000238,运输节点中断-杭州-238,紧急采购+生产计划调整,72,51.87,178619.41,170721.71,0.7597,4,0,0,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-12T08:00:00+08:00
CASE-000020,EVT-000039,台风天气-合肥-039,接受短期停线+控制现金成本,24,33.02,392063.29,391268.22,0.5862,31,5,17,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-14T08:00:00+08:00
CASE-000021,EVT-000184,海关查验延误-苏州-184,双供应商分单+安全库存锁定,48,45.16,858100.37,917517.18,0.7541,20,3,9,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-31T08:00:00+08:00
CASE-000022,EVT-000032,台风天气-成都-032,库存重分配+客户分级沟通,72,67.13,860640.08,622417.46,0.7473,13,1,6,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-19T08:00:00+08:00
CASE-000023,EVT-000116,区域限电-东莞-116,双供应商分单+安全库存锁定,36,12.93,487529.15,299330.12,1.0,8,0,4,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-26T08:00:00+08:00
CASE-000024,EVT-000025,海关查验延误-武汉-025,双供应商分单+安全库存锁定,6,3.72,294866.34,244526.38,0.8658,19,1,3,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-29T08:00:00+08:00
CASE-000025,EVT-000137,港口停运-青岛-137,双供应商分单+安全库存锁定,24,9.54,749514.1,829572.64,0.8477,23,1,8,partial_success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-16T08:00:00+08:00
CASE-000026,EVT-000056,运输节点中断-合肥-056,双供应商分单+安全库存锁定,24,23.52,782305.06,607528.6,0.948,29,0,0,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-06-11T08:00:00+08:00
CASE-000027,EVT-000067,质量召回-东莞-067,接受短期停线+控制现金成本,72,63.43,253457.99,268502.47,0.9269,0,0,0,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-05-14T08:00:00+08:00
CASE-000028,EVT-000174,海关查验延误-宁波-174,双供应商分单+安全库存锁定,24,29.38,842302.56,1264125.56,0.7528,21,2,13,partial_success,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-04-01T08:00:00+08:00
CASE-000029,EVT-000213,区域限电-武汉-213,关键订单空运+备用供应商补货,12,6.79,645653.93,535892.54,0.7803,10,1,0,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-11-24T08:00:00+08:00
CASE-000030,EVT-000127,质量召回-天津-127,库存重分配+客户分级沟通,6,6.51,501928.13,584690.72,0.6841,24,2,7,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-06-05T08:00:00+08:00
CASE-000031,EVT-000131,需求突增-宁波-131,双供应商分单+安全库存锁定,24,22.55,107616.02,158031.32,0.6871,23,3,8,failed,1,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-19T08:00:00+08:00
CASE-000032,EVT-000007,需求突增-成都-007,库存重分配+客户分级沟通,36,30.69,181340.09,178277.62,0.8046,5,0,4,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-14T08:00:00+08:00
CASE-000033,EVT-000225,需求突增-苏州-225,关键订单空运+备用供应商补货,36,43.46,664686.46,690183.88,0.7827,21,1,9,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-08-07T08:00:00+08:00
CASE-000034,EVT-000166,区域限电-成都-166,紧急采购+生产计划调整,12,13.37,47979.23,38778.21,0.8648,13,2,5,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-06-23T08:00:00+08:00
CASE-000035,EVT-000033,运输节点中断-合肥-033,关键订单空运+备用供应商补货,12,17.42,682857.65,948449.57,0.6039,23,2,15,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-09-16T08:00:00+08:00
CASE-000036,EVT-000238,运输节点中断-杭州-238,库存重分配+客户分级沟通,12,16.2,767926.3,990255.44,0.6644,23,4,18,partial_success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-23T08:00:00+08:00
CASE-000037,EVT-000101,台风天气-成都-101,库存重分配+客户分级沟通,36,10.67,326526.64,231258.45,0.9933,0,0,1,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-05T08:00:00+08:00
CASE-000038,EVT-000044,海关查验延误-东莞-044,紧急采购+生产计划调整,72,64.01,699476.8,721175.7,0.7673,22,2,4,success,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-10-10T08:00:00+08:00
CASE-000039,EVT-000114,运输节点中断-宁波-114,双供应商分单+安全库存锁定,12,14.35,659649.47,614368.21,1.0,10,0,0,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-06-13T08:00:00+08:00
CASE-000040,EVT-000201,质量召回-宁波-201,关键订单空运+备用供应商补货,36,51.52,571824.92,787416.47,0.6429,27,4,16,failed,2,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-07-19T08:00:00+08:00
CASE-000041,EVT-000137,港口停运-青岛-137,双供应商分单+安全库存锁定,6,8.26,700614.67,469233.83,0.7323,31,2,10,success,4,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2025-12-28T08:00:00+08:00
CASE-000042,EVT-000132,质量召回-青岛-132,铁路替代+延期交付,72,43.87,86027.88,49092.33,1.0,0,1,5,success,5,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-01-07T08:00:00+08:00
CASE-000043,EVT-000217,运输节点中断-天津-217,接受短期停线+控制现金成本,48,77.56,413642.73,518310.64,0.5651,35,2,14,failed,3,优先保障A级客户，并同时验证备用供应商产能、质量与运输可用性。,demo-rule-v1,expert-2026-06,2026-02-06T08:00:00+08:00
