customer_id,customer_name,industry,customer_level,credit_limit,payment_terms_days,sla_hours,penalty_rate,region,status,updated_at
CUS-0001,成都客户企业0001,轨道交通,C,6686775.03,45,120,0.008,苏州,active,2026-06-02T08:00:00+08:00
CUS-0002,天津客户企业0002,工业自动化,B,6687757.03,90,72,0.018,杭州,active,2026-05-17T08:00:00+08:00
CUS-0003,上海客户企业0003,消费电子,A,1692367.77,15,48,0.035,杭州,active,2026-06-04T08:00:00+08:00
CUS-0004,青岛客户企业0004,医疗设备,B,1233212.25,60,72,0.018,杭州,active,2026-06-03T08:00:00+08:00
CUS-0005,上海客户企业0005,医疗设备,A,1870192.53,90,48,0.035,青岛,active,2026-06-04T08:00:00+08:00
CUS-0006,合肥客户企业0006,工业自动化,C,3601122.67,15,120,0.008,杭州,active,2026-05-23T08:00:00+08:00
CUS-0007,青岛客户企业0007,消费电子,B,1439589.44,90,72,0.018,武汉,active,2026-05-23T08:00:00+08:00
CUS-0008,天津客户企业0008,消费电子,A,3446027.55,0,48,0.035,青岛,active,2026-05-27T08:00:00+08:00
CUS-0009,宁波客户企业0009,工业自动化,C,4558870.93,60,120,0.008,东莞,active,2026-06-10T08:00:00+08:00
CUS-0010,合肥客户企业0010,新能源,B,4893055.45,30,72,0.018,合肥,active,2026-05-23T08:00:00+08:00
CUS-0011,青岛客户企业0011,轨道交通,C,3430960.24,60,120,0.008,青岛,active,2026-06-06T08:00:00+08:00
CUS-0012,东莞客户企业0012,医疗设备,C,5526341.9,15,120,0.008,宁波,active,2026-06-06T08:00:00+08:00
CUS-0013,天津客户企业0013,轨道交通,B,7772621.37,45,72,0.018,成都,active,2026-05-17T08:00:00+08:00
CUS-0014,青岛客户企业0014,汽车零部件,C,1304322.11,60,120,0.008,东莞,active,2026-06-02T08:00:00+08:00
CUS-0015,青岛客户企业0015,医疗设备,C,1789280.05,30,120,0.008,上海,active,2026-05-23T08:00:00+08:00
CUS-0016,宁波客户企业0016,汽车零部件,C,1947190.59,60,120,0.008,杭州,active,2026-06-08T08:00:00+08:00
CUS-0017,武汉客户企业0017,工业自动化,C,5251170.55,15,120,0.008,青岛,active,2026-05-18T08:00:00+08:00
CUS-0018,杭州客户企业0018,医疗设备,B,5501474.05,30,72,0.018,宁波,active,2026-06-09T08:00:00+08:00
CUS-0019,青岛客户企业0019,医疗设备,B,2865064.13,30,72,0.018,合肥,active,2026-05-22T08:00:00+08:00
CUS-0020,成都客户企业0020,工业自动化,B,5315089.36,90,72,0.018,宁波,active,2026-05-26T08:00:00+08:00
CUS-0021,苏州客户企业0021,医疗设备,B,4980213.78,45,72,0.018,成都,active,2026-05-28T08:00:00+08:00
